Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-82.2,0.0,7.6,-2.1,0,0,0
-71.5,0.0,7.6,-2.2,0,0,0
-61.0,0.0,8.0,-2.1,0,1,1
-49.4,6.7,9.1,-1.4,0,36,36
-37.1,13.6,9.3,-0.3,6,87,89
-23.2,18.6,8.9,0.7,13,129,134
-8.4,21.4,10.4,1.5,25,151,159
6.3,21.6,14.8,2.0,23,151,159
21.2,19.2,13.5,2.3,10,129,133
35.1,14.5,12.2,2.2,3,91,92
47.5,7.8,10.4,1.7,0,45,45
59.2,0.0,11.1,1.0,0,1,1
70.1,0.0,10.0,0.6,0,0,0
80.5,0.0,9.6,0.1,0,0,0
91.4,0.0,9.6,-0.3,0,0,0
103.5,0.0,10.9,-0.8,0,0,0
118.2,0.0,10.0,-1.2,0,0,0
137.3,0.0,11.6,-1.7,0,0,0
163.0,0.0,11.1,-2.2,0,0,0
-167.4,0.0,12.7,-2.7,0,0,0
-141.1,0.0,10.0,-3.5,0,0,0
-121.1,0.0,12.2,-3.8,0,0,0
-106.0,0.0,9.6,-3.9,0,0,0
-93.4,0.0,9.6,-4.2,0,0,0
-82.4,0.0,9.3,-4.4,0,0,0
-72.0,0.0,6.7,-4.6,0,0,0
-61.1,0.0,6.5,-4.6,0,1,1
-49.5,6.8,5.5,-4.6,0,11,11
-37.2,13.7,5.7,-4.6,0,27,27
-23.3,18.8,5.3,-4.6,0,37,37
-8.5,21.6,4.3,-4.6,0,43,43
6.2,21.8,4.0,-4.5,0,42,42
21.1,19.4,3.8,-4.5,0,40,40
35.1,14.7,3.8,-4.6,0,28,28
47.5,8.0,5.3,-4.7,0,15,15
59.3,0.0,5.5,-4.8,0,1,1
70.2,0.0,6.7,-5.0,0,0,0
80.5,0.0,7.6,-5.2,0,0,0
91.5,0.0,6.7,-5.5,0,0,0
103.6,0.0,7.1,-5.7,0,0,0
118.3,0.0,6.0,-6.0,0,0,0
137.4,0.0,6.3,-6.3,0,0,0
163.0,0.0,6.0,-6.5,0,0,0
